,response,context,context/0,context/1,context/2,context/3,context/4,context/5
428,at han ville ha glemt det.,2 Det sa jeg også. Men noen sa,1 Du bør nok ikke være her.,Det kan ikke jeg gjøre!,2 Urettferdig!,1 Jeg har nettopp født hans barn.,2 -Mest på deg.,1 -Er han ennå sint på oss?
429,Hva vet jeg? ,at han ville ha glemt det.,2 Det sa jeg også. Men noen sa,1 Du bør nok ikke være her.,Det kan ikke jeg gjøre!,2 Urettferdig!,1 Jeg har nettopp født hans barn.,2 -Mest på deg.
430,Jeg ville kjøpe en større gorilla.,Hva vet jeg? ,at han ville ha glemt det.,2 Det sa jeg også. Men noen sa,1 Du bør nok ikke være her.,Det kan ikke jeg gjøre!,2 Urettferdig!,1 Jeg har nettopp født hans barn.
431,"1 Tallene i Chicago,",Jeg ville kjøpe en større gorilla.,Hva vet jeg? ,at han ville ha glemt det.,2 Det sa jeg også. Men noen sa,1 Du bør nok ikke være her.,Det kan ikke jeg gjøre!,2 Urettferdig!
432,New York og London er solide.,"1 Tallene i Chicago,",Jeg ville kjøpe en større gorilla.,Hva vet jeg? ,at han ville ha glemt det.,2 Det sa jeg også. Men noen sa,1 Du bør nok ikke være her.,Det kan ikke jeg gjøre!
433,2 Men mange av våre filialer,New York og London er solide.,"1 Tallene i Chicago,",Jeg ville kjøpe en større gorilla.,Hva vet jeg? ,at han ville ha glemt det.,2 Det sa jeg også. Men noen sa,1 Du bør nok ikke være her.
434,melder om synkende avkastning.,2 Men mange av våre filialer,New York og London er solide.,"1 Tallene i Chicago,",Jeg ville kjøpe en større gorilla.,Hva vet jeg? ,at han ville ha glemt det.,2 Det sa jeg også. Men noen sa
435,"1 Boston, Atlanta og Houston går ned.",melder om synkende avkastning.,2 Men mange av våre filialer,New York og London er solide.,"1 Tallene i Chicago,",Jeg ville kjøpe en større gorilla.,Hva vet jeg? ,at han ville ha glemt det.
436,Jeg kunne fortsatt.,"1 Boston, Atlanta og Houston går ned.",melder om synkende avkastning.,2 Men mange av våre filialer,New York og London er solide.,"1 Tallene i Chicago,",Jeg ville kjøpe en større gorilla.,Hva vet jeg? 
437,l stedet går jeg rett til,Jeg kunne fortsatt.,"1 Boston, Atlanta og Houston går ned.",melder om synkende avkastning.,2 Men mange av våre filialer,New York og London er solide.,"1 Tallene i Chicago,",Jeg ville kjøpe en større gorilla.
438,min 42-punkters plan.,l stedet går jeg rett til,Jeg kunne fortsatt.,"1 Boston, Atlanta og Houston går ned.",melder om synkende avkastning.,2 Men mange av våre filialer,New York og London er solide.,"1 Tallene i Chicago,"
439,Walter.,min 42-punkters plan.,l stedet går jeg rett til,Jeg kunne fortsatt.,"1 Boston, Atlanta og Houston går ned.",melder om synkende avkastning.,2 Men mange av våre filialer,New York og London er solide.
440,1 Hun er så søt!,Walter.,min 42-punkters plan.,l stedet går jeg rett til,Jeg kunne fortsatt.,"1 Boston, Atlanta og Houston går ned.",melder om synkende avkastning.,2 Men mange av våre filialer
441,Jeg vil bite av henne øret,1 Hun er så søt!,Walter.,min 42-punkters plan.,l stedet går jeg rett til,Jeg kunne fortsatt.,"1 Boston, Atlanta og Houston går ned.",melder om synkende avkastning.
442,og bruke det som sugedrops!,Jeg vil bite av henne øret,1 Hun er så søt!,Walter.,min 42-punkters plan.,l stedet går jeg rett til,Jeg kunne fortsatt.,"1 Boston, Atlanta og Houston går ned."
443,"2 Phoebe, da.",og bruke det som sugedrops!,Jeg vil bite av henne øret,1 Hun er så søt!,Walter.,min 42-punkters plan.,l stedet går jeg rett til,Jeg kunne fortsatt.
444,Jeg kunne tatt en liten fot,"2 Phoebe, da.",og bruke det som sugedrops!,Jeg vil bite av henne øret,1 Hun er så søt!,Walter.,min 42-punkters plan.,l stedet går jeg rett til
445,og puttet den i et pitabrød.,Jeg kunne tatt en liten fot,"2 Phoebe, da.",og bruke det som sugedrops!,Jeg vil bite av henne øret,1 Hun er så søt!,Walter.,min 42-punkters plan.
446,Jeg har pakket bort det meste.,og puttet den i et pitabrød.,Jeg kunne tatt en liten fot,"2 Phoebe, da.",og bruke det som sugedrops!,Jeg vil bite av henne øret,1 Hun er så søt!,Walter.
447,1 -Narresmokker?,Jeg har pakket bort det meste.,og puttet den i et pitabrød.,Jeg kunne tatt en liten fot,"2 Phoebe, da.",og bruke det som sugedrops!,Jeg vil bite av henne øret,1 Hun er så søt!
448,2 -l skapet.,1 -Narresmokker?,Jeg har pakket bort det meste.,og puttet den i et pitabrød.,Jeg kunne tatt en liten fot,"2 Phoebe, da.",og bruke det som sugedrops!,Jeg vil bite av henne øret
449,1 -Gulpekluter?,2 -l skapet.,1 -Narresmokker?,Jeg har pakket bort det meste.,og puttet den i et pitabrød.,Jeg kunne tatt en liten fot,"2 Phoebe, da.",og bruke det som sugedrops!
450,2 -Linnetskapet.,1 -Gulpekluter?,2 -l skapet.,1 -Narresmokker?,Jeg har pakket bort det meste.,og puttet den i et pitabrød.,Jeg kunne tatt en liten fot,"2 Phoebe, da."
451,1 -Bleier?,2 -Linnetskapet.,1 -Gulpekluter?,2 -l skapet.,1 -Narresmokker?,Jeg har pakket bort det meste.,og puttet den i et pitabrød.,Jeg kunne tatt en liten fot
452,2 -På sykehuset.,1 -Bleier?,2 -Linnetskapet.,1 -Gulpekluter?,2 -l skapet.,1 -Narresmokker?,Jeg har pakket bort det meste.,og puttet den i et pitabrød.
453,1 Har dere eget sykehus?,2 -På sykehuset.,1 -Bleier?,2 -Linnetskapet.,1 -Gulpekluter?,2 -l skapet.,1 -Narresmokker?,Jeg har pakket bort det meste.
454,Så fjongt!,1 Har dere eget sykehus?,2 -På sykehuset.,1 -Bleier?,2 -Linnetskapet.,1 -Gulpekluter?,2 -l skapet.,1 -Narresmokker?
455,Jeg glemte bleiene der.,Så fjongt!,1 Har dere eget sykehus?,2 -På sykehuset.,1 -Bleier?,2 -Linnetskapet.,1 -Gulpekluter?,2 -l skapet.
456,Jeg stikker ut og kjøper nye.,Jeg glemte bleiene der.,Så fjongt!,1 Har dere eget sykehus?,2 -På sykehuset.,1 -Bleier?,2 -Linnetskapet.,1 -Gulpekluter?
457,1 -Kan du kjøpe med en muffins?,Jeg stikker ut og kjøper nye.,Jeg glemte bleiene der.,Så fjongt!,1 Har dere eget sykehus?,2 -På sykehuset.,1 -Bleier?,2 -Linnetskapet.
458,2 -Ja. Hva slags?,1 -Kan du kjøpe med en muffins?,Jeg stikker ut og kjøper nye.,Jeg glemte bleiene der.,Så fjongt!,1 Har dere eget sykehus?,2 -På sykehuset.,1 -Bleier?
459,1 La meg tenke.,2 -Ja. Hva slags?,1 -Kan du kjøpe med en muffins?,Jeg stikker ut og kjøper nye.,Jeg glemte bleiene der.,Så fjongt!,1 Har dere eget sykehus?,2 -På sykehuset.
460,2 Hva vil jeg ha?,1 La meg tenke.,2 -Ja. Hva slags?,1 -Kan du kjøpe med en muffins?,Jeg stikker ut og kjøper nye.,Jeg glemte bleiene der.,Så fjongt!,1 Har dere eget sykehus?
461,1 Hva vil jeg ha?,2 Hva vil jeg ha?,1 La meg tenke.,2 -Ja. Hva slags?,1 -Kan du kjøpe med en muffins?,Jeg stikker ut og kjøper nye.,Jeg glemte bleiene der.,Så fjongt!
462,2 Ta deg god tid. Det er viktigere enn,1 Hva vil jeg ha?,2 Hva vil jeg ha?,1 La meg tenke.,2 -Ja. Hva slags?,1 -Kan du kjøpe med en muffins?,Jeg stikker ut og kjøper nye.,Jeg glemte bleiene der.
463,å avgjøre om man vil gifte seg.,2 Ta deg god tid. Det er viktigere enn,1 Hva vil jeg ha?,2 Hva vil jeg ha?,1 La meg tenke.,2 -Ja. Hva slags?,1 -Kan du kjøpe med en muffins?,Jeg stikker ut og kjøper nye.
464,1 Dette gjelder en muffins!,å avgjøre om man vil gifte seg.,2 Ta deg god tid. Det er viktigere enn,1 Hva vil jeg ha?,2 Hva vil jeg ha?,1 La meg tenke.,2 -Ja. Hva slags?,1 -Kan du kjøpe med en muffins?
465,-Blåbær.,1 Dette gjelder en muffins!,å avgjøre om man vil gifte seg.,2 Ta deg god tid. Det er viktigere enn,1 Hva vil jeg ha?,2 Hva vil jeg ha?,1 La meg tenke.,2 -Ja. Hva slags?
466,2 -Skal bli.,-Blåbær.,1 Dette gjelder en muffins!,å avgjøre om man vil gifte seg.,2 Ta deg god tid. Det er viktigere enn,1 Hva vil jeg ha?,2 Hva vil jeg ha?,1 La meg tenke.
467,1 -Han nekter å glemme det.,2 -Skal bli.,-Blåbær.,1 Dette gjelder en muffins!,å avgjøre om man vil gifte seg.,2 Ta deg god tid. Det er viktigere enn,1 Hva vil jeg ha?,2 Hva vil jeg ha?
468,2 -Hvor lenge vil det vare?,1 -Han nekter å glemme det.,2 -Skal bli.,-Blåbær.,1 Dette gjelder en muffins!,å avgjøre om man vil gifte seg.,2 Ta deg god tid. Det er viktigere enn,1 Hva vil jeg ha?
469,1 Han glemte,2 -Hvor lenge vil det vare?,1 -Han nekter å glemme det.,2 -Skal bli.,-Blåbær.,1 Dette gjelder en muffins!,å avgjøre om man vil gifte seg.,2 Ta deg god tid. Det er viktigere enn
470,"vi hadde pause""""-saken veldig fort.",1 Han glemte,2 -Hvor lenge vil det vare?,1 -Han nekter å glemme det.,2 -Skal bli.,-Blåbær.,1 Dette gjelder en muffins!,å avgjøre om man vil gifte seg.
471,2 Jeg vil ikke tenke på det nå.,"vi hadde pause""""-saken veldig fort.",1 Han glemte,2 -Hvor lenge vil det vare?,1 -Han nekter å glemme det.,2 -Skal bli.,-Blåbær.,1 Dette gjelder en muffins!
472,Jeg har nemlig verdens søteste baby.,2 Jeg vil ikke tenke på det nå.,"vi hadde pause""""-saken veldig fort.",1 Han glemte,2 -Hvor lenge vil det vare?,1 -Han nekter å glemme det.,2 -Skal bli.,-Blåbær.
473,1 Jeg er så utrolig glad i henne.,Jeg har nemlig verdens søteste baby.,2 Jeg vil ikke tenke på det nå.,"vi hadde pause""""-saken veldig fort.",1 Han glemte,2 -Hvor lenge vil det vare?,1 -Han nekter å glemme det.,2 -Skal bli.
474,2 Jeg får ikke nok av henne.,1 Jeg er så utrolig glad i henne.,Jeg har nemlig verdens søteste baby.,2 Jeg vil ikke tenke på det nå.,"vi hadde pause""""-saken veldig fort.",1 Han glemte,2 -Hvor lenge vil det vare?,1 -Han nekter å glemme det.
475,1 Akkurat nå savner jeg henne faktisk.,2 Jeg får ikke nok av henne.,1 Jeg er så utrolig glad i henne.,Jeg har nemlig verdens søteste baby.,2 Jeg vil ikke tenke på det nå.,"vi hadde pause""""-saken veldig fort.",1 Han glemte,2 -Hvor lenge vil det vare?
476,2 Du vet at det er henne?,1 Akkurat nå savner jeg henne faktisk.,2 Jeg får ikke nok av henne.,1 Jeg er så utrolig glad i henne.,Jeg har nemlig verdens søteste baby.,2 Jeg vil ikke tenke på det nå.,"vi hadde pause""""-saken veldig fort.",1 Han glemte
477,1 Se på henne der hun ligger.,2 Du vet at det er henne?,1 Akkurat nå savner jeg henne faktisk.,2 Jeg får ikke nok av henne.,1 Jeg er så utrolig glad i henne.,Jeg har nemlig verdens søteste baby.,2 Jeg vil ikke tenke på det nå.,"vi hadde pause""""-saken veldig fort."
478,2 Jeg er så glad i henne.,1 Se på henne der hun ligger.,2 Du vet at det er henne?,1 Akkurat nå savner jeg henne faktisk.,2 Jeg får ikke nok av henne.,1 Jeg er så utrolig glad i henne.,Jeg har nemlig verdens søteste baby.,2 Jeg vil ikke tenke på det nå.
479,1 -Jeg tror jeg vekker henne.,2 Jeg er så glad i henne.,1 Se på henne der hun ligger.,2 Du vet at det er henne?,1 Akkurat nå savner jeg henne faktisk.,2 Jeg får ikke nok av henne.,1 Jeg er så utrolig glad i henne.,Jeg har nemlig verdens søteste baby.
480,2 -Man bør aldri vekke en baby.,1 -Jeg tror jeg vekker henne.,2 Jeg er så glad i henne.,1 Se på henne der hun ligger.,2 Du vet at det er henne?,1 Akkurat nå savner jeg henne faktisk.,2 Jeg får ikke nok av henne.,1 Jeg er så utrolig glad i henne.
481,1 Jeg kan gjøre hva jeg vil.,2 -Man bør aldri vekke en baby.,1 -Jeg tror jeg vekker henne.,2 Jeg er så glad i henne.,1 Se på henne der hun ligger.,2 Du vet at det er henne?,1 Akkurat nå savner jeg henne faktisk.,2 Jeg får ikke nok av henne.
482,Jeg har laget henne.,1 Jeg kan gjøre hva jeg vil.,2 -Man bør aldri vekke en baby.,1 -Jeg tror jeg vekker henne.,2 Jeg er så glad i henne.,1 Se på henne der hun ligger.,2 Du vet at det er henne?,1 Akkurat nå savner jeg henne faktisk.
483,"Kom hit, jenta mi.",Jeg har laget henne.,1 Jeg kan gjøre hva jeg vil.,2 -Man bør aldri vekke en baby.,1 -Jeg tror jeg vekker henne.,2 Jeg er så glad i henne.,1 Se på henne der hun ligger.,2 Du vet at det er henne?
484,Hei.,"Kom hit, jenta mi.",Jeg har laget henne.,1 Jeg kan gjøre hva jeg vil.,2 -Man bør aldri vekke en baby.,1 -Jeg tror jeg vekker henne.,2 Jeg er så glad i henne.,1 Se på henne der hun ligger.
485,"2 Jeg burde sagt: """"Hva sa jeg?""""",Hei.,"Kom hit, jenta mi.",Jeg har laget henne.,1 Jeg kan gjøre hva jeg vil.,2 -Man bør aldri vekke en baby.,1 -Jeg tror jeg vekker henne.,2 Jeg er så glad i henne.
486,1 Mamma er lei seg.,"2 Jeg burde sagt: """"Hva sa jeg?""""",Hei.,"Kom hit, jenta mi.",Jeg har laget henne.,1 Jeg kan gjøre hva jeg vil.,2 -Man bør aldri vekke en baby.,1 -Jeg tror jeg vekker henne.
487,Bare sov videre.,1 Mamma er lei seg.,"2 Jeg burde sagt: """"Hva sa jeg?""""",Hei.,"Kom hit, jenta mi.",Jeg har laget henne.,1 Jeg kan gjøre hva jeg vil.,2 -Man bør aldri vekke en baby.
488,2 -Hjerteskjærende.,Bare sov videre.,1 Mamma er lei seg.,"2 Jeg burde sagt: """"Hva sa jeg?""""",Hei.,"Kom hit, jenta mi.",Jeg har laget henne.,1 Jeg kan gjøre hva jeg vil.
489,1 -Ja.,2 -Hjerteskjærende.,Bare sov videre.,1 Mamma er lei seg.,"2 Jeg burde sagt: """"Hva sa jeg?""""",Hei.,"Kom hit, jenta mi.",Jeg har laget henne.
490,2 Hvor lenge må vi være her?,1 -Ja.,2 -Hjerteskjærende.,Bare sov videre.,1 Mamma er lei seg.,"2 Jeg burde sagt: """"Hva sa jeg?""""",Hei.,"Kom hit, jenta mi."
491,"1 Hvis alle er enige, er det avgjort.",2 Hvor lenge må vi være her?,1 -Ja.,2 -Hjerteskjærende.,Bare sov videre.,1 Mamma er lei seg.,"2 Jeg burde sagt: """"Hva sa jeg?""""",Hei.
492,2 Ja,"1 Hvis alle er enige, er det avgjort.",2 Hvor lenge må vi være her?,1 -Ja.,2 -Hjerteskjærende.,Bare sov videre.,1 Mamma er lei seg.,"2 Jeg burde sagt: """"Hva sa jeg?"""""
493,"1 Chandler, er du enig?",2 Ja,"1 Hvis alle er enige, er det avgjort.",2 Hvor lenge må vi være her?,1 -Ja.,2 -Hjerteskjærende.,Bare sov videre.,1 Mamma er lei seg.
494,2 Ja.,"1 Chandler, er du enig?",2 Ja,"1 Hvis alle er enige, er det avgjort.",2 Hvor lenge må vi være her?,1 -Ja.,2 -Hjerteskjærende.,Bare sov videre.
495,1 Problemet er løst.,2 Ja.,"1 Chandler, er du enig?",2 Ja,"1 Hvis alle er enige, er det avgjort.",2 Hvor lenge må vi være her?,1 -Ja.,2 -Hjerteskjærende.
496,Chandler vil drive kontoret i Tulsa.,1 Problemet er løst.,2 Ja.,"1 Chandler, er du enig?",2 Ja,"1 Hvis alle er enige, er det avgjort.",2 Hvor lenge må vi være her?,1 -Ja.
497,"2 Vi har prøvd mat,",Chandler vil drive kontoret i Tulsa.,1 Problemet er løst.,2 Ja.,"1 Chandler, er du enig?",2 Ja,"1 Hvis alle er enige, er det avgjort.",2 Hvor lenge må vi være her?
498,bleieskift og raping.,"2 Vi har prøvd mat,",Chandler vil drive kontoret i Tulsa.,1 Problemet er løst.,2 Ja.,"1 Chandler, er du enig?",2 Ja,"1 Hvis alle er enige, er det avgjort."
499,"1 Prøv denne! """"Skru tiden tilbake",bleieskift og raping.,"2 Vi har prøvd mat,",Chandler vil drive kontoret i Tulsa.,1 Problemet er løst.,2 Ja.,"1 Chandler, er du enig?",2 Ja
500,"og hør på Phoebe. """"","1 Prøv denne! """"Skru tiden tilbake",bleieskift og raping.,"2 Vi har prøvd mat,",Chandler vil drive kontoret i Tulsa.,1 Problemet er løst.,2 Ja.,"1 Chandler, er du enig?"
501,2 Her er det noe.,"og hør på Phoebe. """"","1 Prøv denne! """"Skru tiden tilbake",bleieskift og raping.,"2 Vi har prøvd mat,",Chandler vil drive kontoret i Tulsa.,1 Problemet er løst.,2 Ja.
502,"1 """"Hold barnet tett inntil deg og",2 Her er det noe.,"og hør på Phoebe. """"","1 Prøv denne! """"Skru tiden tilbake",bleieskift og raping.,"2 Vi har prøvd mat,",Chandler vil drive kontoret i Tulsa.,1 Problemet er løst.
503,"sving henne fort fra side til side. """"","1 """"Hold barnet tett inntil deg og",2 Her er det noe.,"og hør på Phoebe. """"","1 Prøv denne! """"Skru tiden tilbake",bleieskift og raping.,"2 Vi har prøvd mat,",Chandler vil drive kontoret i Tulsa.
504,2 Det virket!,"sving henne fort fra side til side. """"","1 """"Hold barnet tett inntil deg og",2 Her er det noe.,"og hør på Phoebe. """"","1 Prøv denne! """"Skru tiden tilbake",bleieskift og raping.,"2 Vi har prøvd mat,"
505,1 Nei.,2 Det virket!,"sving henne fort fra side til side. """"","1 """"Hold barnet tett inntil deg og",2 Her er det noe.,"og hør på Phoebe. """"","1 Prøv denne! """"Skru tiden tilbake",bleieskift og raping.
506,Hun måtte bare kaste opp litt.,1 Nei.,2 Det virket!,"sving henne fort fra side til side. """"","1 """"Hold barnet tett inntil deg og",2 Her er det noe.,"og hør på Phoebe. """"","1 Prøv denne! """"Skru tiden tilbake"
507,2 Hva skal jeg gjøre?,Hun måtte bare kaste opp litt.,1 Nei.,2 Det virket!,"sving henne fort fra side til side. """"","1 """"Hold barnet tett inntil deg og",2 Her er det noe.,"og hør på Phoebe. """""
508,Det har grått i flere timer!,2 Hva skal jeg gjøre?,Hun måtte bare kaste opp litt.,1 Nei.,2 Det virket!,"sving henne fort fra side til side. """"","1 """"Hold barnet tett inntil deg og",2 Her er det noe.
509,"1 """"Hun"""", ikke """"det"""" .",Det har grått i flere timer!,2 Hva skal jeg gjøre?,Hun måtte bare kaste opp litt.,1 Nei.,2 Det virket!,"sving henne fort fra side til side. """"","1 """"Hold barnet tett inntil deg og"
510,2 Jeg er ikke så sikker.,"1 """"Hun"""", ikke """"det"""" .",Det har grått i flere timer!,2 Hva skal jeg gjøre?,Hun måtte bare kaste opp litt.,1 Nei.,2 Det virket!,"sving henne fort fra side til side. """""
511,1 -Jeg holder på å bli gal.,2 Jeg er ikke så sikker.,"1 """"Hun"""", ikke """"det"""" .",Det har grått i flere timer!,2 Hva skal jeg gjøre?,Hun måtte bare kaste opp litt.,1 Nei.,2 Det virket!
512,2 -Enig.,1 -Jeg holder på å bli gal.,2 Jeg er ikke så sikker.,"1 """"Hun"""", ikke """"det"""" .",Det har grått i flere timer!,2 Hva skal jeg gjøre?,Hun måtte bare kaste opp litt.,1 Nei.
513,1 Dette beviser at sex med Ross,2 -Enig.,1 -Jeg holder på å bli gal.,2 Jeg er ikke så sikker.,"1 """"Hun"""", ikke """"det"""" .",Det har grått i flere timer!,2 Hva skal jeg gjøre?,Hun måtte bare kaste opp litt.
514,ikke fører noe godt med seg!,1 Dette beviser at sex med Ross,2 -Enig.,1 -Jeg holder på å bli gal.,2 Jeg er ikke så sikker.,"1 """"Hun"""", ikke """"det"""" .",Det har grått i flere timer!,2 Hva skal jeg gjøre?
515,"2 Jaså, sier du det.",ikke fører noe godt med seg!,1 Dette beviser at sex med Ross,2 -Enig.,1 -Jeg holder på å bli gal.,2 Jeg er ikke så sikker.,"1 """"Hun"""", ikke """"det"""" .",Det har grått i flere timer!
516,"1  Hei, Gunther.","2 Jaså, sier du det.",ikke fører noe godt med seg!,1 Dette beviser at sex med Ross,2 -Enig.,1 -Jeg holder på å bli gal.,2 Jeg er ikke så sikker.,"1 """"Hun"""", ikke """"det"""" ."
517,2 Hei!,"1  Hei, Gunther.","2 Jaså, sier du det.",ikke fører noe godt med seg!,1 Dette beviser at sex med Ross,2 -Enig.,1 -Jeg holder på å bli gal.,2 Jeg er ikke så sikker.
518,1 Kan jeg få et par blåbærmuffins?,2 Hei!,"1  Hei, Gunther.","2 Jaså, sier du det.",ikke fører noe godt med seg!,1 Dette beviser at sex med Ross,2 -Enig.,1 -Jeg holder på å bli gal.
519,"2 Ja, så klart! Vær så god! ",1 Kan jeg få et par blåbærmuffins?,2 Hei!,"1  Hei, Gunther.","2 Jaså, sier du det.",ikke fører noe godt med seg!,1 Dette beviser at sex med Ross,2 -Enig.
520,1 Bleier?,"2 Ja, så klart! Vær så god! ",1 Kan jeg få et par blåbærmuffins?,2 Hei!,"1  Hei, Gunther.","2 Jaså, sier du det.",ikke fører noe godt med seg!,1 Dette beviser at sex med Ross
521,2 Da har vel Rachel født ditt barn.,1 Bleier?,"2 Ja, så klart! Vær så god! ",1 Kan jeg få et par blåbærmuffins?,2 Hei!,"1  Hei, Gunther.","2 Jaså, sier du det.",ikke fører noe godt med seg!
522,1 -Kan du fatte det?,2 Da har vel Rachel født ditt barn.,1 Bleier?,"2 Ja, så klart! Vær så god! ",1 Kan jeg få et par blåbærmuffins?,2 Hei!,"1  Hei, Gunther.","2 Jaså, sier du det."
523,2 -Nei.,1 -Kan du fatte det?,2 Da har vel Rachel født ditt barn.,1 Bleier?,"2 Ja, så klart! Vær så god! ",1 Kan jeg få et par blåbærmuffins?,2 Hei!,"1  Hei, Gunther."
524,1 Jeg kan ikke fatte at hun lå med deg.,2 -Nei.,1 -Kan du fatte det?,2 Da har vel Rachel født ditt barn.,1 Bleier?,"2 Ja, så klart! Vær så god! ",1 Kan jeg få et par blåbærmuffins?,2 Hei!
525,"2 Å, du mener. . .",1 Jeg kan ikke fatte at hun lå med deg.,2 -Nei.,1 -Kan du fatte det?,2 Da har vel Rachel født ditt barn.,1 Bleier?,"2 Ja, så klart! Vær så god! ",1 Kan jeg få et par blåbærmuffins?
526,1 Hei.,"2 Å, du mener. . .",1 Jeg kan ikke fatte at hun lå med deg.,2 -Nei.,1 -Kan du fatte det?,2 Da har vel Rachel født ditt barn.,1 Bleier?,"2 Ja, så klart! Vær så god! "
527,"2 Vi må prate om dette, Ross.",1 Hei.,"2 Å, du mener. . .",1 Jeg kan ikke fatte at hun lå med deg.,2 -Nei.,1 -Kan du fatte det?,2 Da har vel Rachel født ditt barn.,1 Bleier?
528,1 Det må vi faktisk ikke.,"2 Vi må prate om dette, Ross.",1 Hei.,"2 Å, du mener. . .",1 Jeg kan ikke fatte at hun lå med deg.,2 -Nei.,1 -Kan du fatte det?,2 Da har vel Rachel født ditt barn.
529,2 Greit. Men i teorien,1 Det må vi faktisk ikke.,"2 Vi må prate om dette, Ross.",1 Hei.,"2 Å, du mener. . .",1 Jeg kan ikke fatte at hun lå med deg.,2 -Nei.,1 -Kan du fatte det?
530,gjorde jeg ikke noe galt.,2 Greit. Men i teorien,1 Det må vi faktisk ikke.,"2 Vi må prate om dette, Ross.",1 Hei.,"2 Å, du mener. . .",1 Jeg kan ikke fatte at hun lå med deg.,2 -Nei.
531,1 -Gjorde du ikke noe galt?,gjorde jeg ikke noe galt.,2 Greit. Men i teorien,1 Det må vi faktisk ikke.,"2 Vi må prate om dette, Ross.",1 Hei.,"2 Å, du mener. . .",1 Jeg kan ikke fatte at hun lå med deg.
532,"2 -l teorien, sa jeg.",1 -Gjorde du ikke noe galt?,gjorde jeg ikke noe galt.,2 Greit. Men i teorien,1 Det må vi faktisk ikke.,"2 Vi må prate om dette, Ross.",1 Hei.,"2 Å, du mener. . ."
533,1 Du plukket opp bestemors ring,"2 -l teorien, sa jeg.",1 -Gjorde du ikke noe galt?,gjorde jeg ikke noe galt.,2 Greit. Men i teorien,1 Det må vi faktisk ikke.,"2 Vi må prate om dette, Ross.",1 Hei.
534,ved et uhell og fridde til Rachel ved et uhell!,1 Du plukket opp bestemors ring,"2 -l teorien, sa jeg.",1 -Gjorde du ikke noe galt?,gjorde jeg ikke noe galt.,2 Greit. Men i teorien,1 Det må vi faktisk ikke.,"2 Vi må prate om dette, Ross."
535,"2 Jeg må stanse deg. Alle gjør dette,",ved et uhell og fridde til Rachel ved et uhell!,1 Du plukket opp bestemors ring,"2 -l teorien, sa jeg.",1 -Gjorde du ikke noe galt?,gjorde jeg ikke noe galt.,2 Greit. Men i teorien,1 Det må vi faktisk ikke.
536,men jeg forstår ikke hva det betyr.,"2 Jeg må stanse deg. Alle gjør dette,",ved et uhell og fridde til Rachel ved et uhell!,1 Du plukket opp bestemors ring,"2 -l teorien, sa jeg.",1 -Gjorde du ikke noe galt?,gjorde jeg ikke noe galt.,2 Greit. Men i teorien
537,1 -Hva sa du?,men jeg forstår ikke hva det betyr.,"2 Jeg må stanse deg. Alle gjør dette,",ved et uhell og fridde til Rachel ved et uhell!,1 Du plukket opp bestemors ring,"2 -l teorien, sa jeg.",1 -Gjorde du ikke noe galt?,gjorde jeg ikke noe galt.
538,2 -Du klarte ikke å si det til Rachel.,1 -Hva sa du?,men jeg forstår ikke hva det betyr.,"2 Jeg må stanse deg. Alle gjør dette,",ved et uhell og fridde til Rachel ved et uhell!,1 Du plukket opp bestemors ring,"2 -l teorien, sa jeg.",1 -Gjorde du ikke noe galt?
539,1 Men hvorfor kunne du ikke,2 -Du klarte ikke å si det til Rachel.,1 -Hva sa du?,men jeg forstår ikke hva det betyr.,"2 Jeg må stanse deg. Alle gjør dette,",ved et uhell og fridde til Rachel ved et uhell!,1 Du plukket opp bestemors ring,"2 -l teorien, sa jeg."
540,ha sagt det til meg?,1 Men hvorfor kunne du ikke,2 -Du klarte ikke å si det til Rachel.,1 -Hva sa du?,men jeg forstår ikke hva det betyr.,"2 Jeg må stanse deg. Alle gjør dette,",ved et uhell og fridde til Rachel ved et uhell!,1 Du plukket opp bestemors ring
541,2 Jeg burde gjort det.,ha sagt det til meg?,1 Men hvorfor kunne du ikke,2 -Du klarte ikke å si det til Rachel.,1 -Hva sa du?,men jeg forstår ikke hva det betyr.,"2 Jeg må stanse deg. Alle gjør dette,",ved et uhell og fridde til Rachel ved et uhell!
542,Unnskyld.,2 Jeg burde gjort det.,ha sagt det til meg?,1 Men hvorfor kunne du ikke,2 -Du klarte ikke å si det til Rachel.,1 -Hva sa du?,men jeg forstår ikke hva det betyr.,"2 Jeg må stanse deg. Alle gjør dette,"
543,1 -Jeg går.,Unnskyld.,2 Jeg burde gjort det.,ha sagt det til meg?,1 Men hvorfor kunne du ikke,2 -Du klarte ikke å si det til Rachel.,1 -Hva sa du?,men jeg forstår ikke hva det betyr.
544,2 -Vi må legge dette bak oss.,1 -Jeg går.,Unnskyld.,2 Jeg burde gjort det.,ha sagt det til meg?,1 Men hvorfor kunne du ikke,2 -Du klarte ikke å si det til Rachel.,1 -Hva sa du?
545,1 -Gi meg posen.,2 -Vi må legge dette bak oss.,1 -Jeg går.,Unnskyld.,2 Jeg burde gjort det.,ha sagt det til meg?,1 Men hvorfor kunne du ikke,2 -Du klarte ikke å si det til Rachel.
546,2 -Hva mer kan jeg gjøre?,1 -Gi meg posen.,2 -Vi må legge dette bak oss.,1 -Jeg går.,Unnskyld.,2 Jeg burde gjort det.,ha sagt det til meg?,1 Men hvorfor kunne du ikke
